Time      x1      y1      z1	x2	y2	z2	x3	y3	z3	x4	y4	z4
33.918	-1.79419	0.984205	0.148931	-1.78622	1.26652	0.146438	-2.18561	1.28618	0.152761
34.2	-1.7943	0.984176	0.149054	-1.7863	1.26659	0.146486	-2.18548	1.2865	0.153041
34.475	-1.79427	0.984177	0.149017	-1.7863	1.26658	0.146507	-2.18569	1.28619	0.152959
34.739	-1.79419	0.984165	0.148894	-1.78623	1.26659	0.146421	-2.18561	1.28618	0.152761
34.949	-1.79425	0.98417	0.14899	-1.78628	1.26659	0.146457	-2.18549	1.2865	0.153024
35.136	-1.79429	0.984142	0.149019	-1.78626	1.26656	0.146459	-2.1855	1.28652	0.153122
35.408	-1.79422	0.984157	0.148953	-1.78573	1.26641	0.145598	-2.18566	1.28619	0.152894
35.589	-1.79419	0.984145	0.148906	-1.78517	1.26648	0.145276	-2.1856	1.28621	0.152838
35.856	-1.79429	0.984152	0.149034	-1.78527	1.26649	0.145377	-2.18553	1.28652	0.153132
36.087	-1.79435	0.984295	0.149251	-1.78527	1.26643	0.145355	-2.18569	1.28618	0.1529
36.293	-1.79429	0.984297	0.149152	-1.7852	1.26642	0.145271	-2.1854	1.28646	0.152877
36.521	-1.79434	0.984289	0.14922	-1.78524	1.26643	0.145337	-2.18561	1.2862	0.152842
36.736	-1.79444	0.984323	0.14938	-1.78542	1.26641	0.145552	-2.18556	1.28651	0.153173
37.017	-1.79436	0.984334	0.149299	-1.7854	1.26642	0.145532	-2.18565	1.28619	0.15292
37.239	-1.79432	0.984323	0.149226	-1.78495	1.26654	0.145156	-2.18563	1.28617	0.152796
37.462	-1.79443	0.984357	0.14936	-1.785	1.26653	0.14524	-2.1855	1.28647	0.153019
37.648	-1.79443	0.984347	0.149389	-1.78524	1.26621	0.145208	-2.18552	1.2865	0.15314
37.859	-1.79433	0.984348	0.149254	-1.78513	1.26615	0.145017	-2.18567	1.28616	0.152856
38.115	-1.79434	0.984364	0.149282	-1.78513	1.26618	0.145032	-2.18563	1.28616	0.152811
38.38	-1.79444	0.984372	0.149413	-1.7852	1.26623	0.145164	-2.18552	1.28649	0.153091
38.61	-1.79438	0.98437	0.149353	-1.78528	1.26619	0.145257	-2.18569	1.28615	0.152913
38.811	-1.79434	0.98435	0.149253	-1.78516	1.26617	0.145071	-2.18563	1.28621	0.152887
39.042	-1.79441	0.984381	0.14936	-1.78524	1.26623	0.14521	-2.18547	1.28655	0.153062
39.307	-1.79444	0.984363	0.149357	-1.78528	1.26621	0.145242	-2.1855	1.28652	0.1531
39.578	-1.79434	0.984338	0.149268	-1.78525	1.26617	0.145194	-2.18571	1.28613	0.152885
39.842	-1.79434	0.98436	0.149279	-1.78516	1.26615	0.145054	-2.18563	1.28618	0.152888
40.113	-1.79445	0.984387	0.149394	-1.78523	1.26622	0.145195	-2.18551	1.28653	0.153129
40.317	-1.79439	0.984373	0.149364	-1.78638	1.2663	0.146463	-2.18569	1.2862	0.152983
40.548	-1.79434	0.984378	0.149296	-1.78519	1.26614	0.145107	-2.18565	1.2862	0.1529
40.771	-1.79439	0.98441	0.149366	-1.78517	1.26614	0.145076	-2.18563	1.28619	0.15288
41.02	-1.79446	0.984416	0.149412	-1.78524	1.26616	0.145162	-2.1855	1.28651	0.153103
41.344	-1.7944	0.984394	0.149337	-1.78521	1.26615	0.145178	-2.18565	1.28619	0.152932
41.591	-1.79437	0.984435	0.149347	-1.78515	1.26614	0.14501	-2.18566	1.28618	0.152849
41.795	-1.79446	0.984416	0.149415	-1.78515	1.26613	0.145021	-2.18547	1.28649	0.153056
41.997	-1.79444	0.984445	0.149407	-1.78508	1.26609	0.144903	-2.18566	1.2862	0.152968
42.21	-1.79438	0.984408	0.149314	-1.78502	1.26614	0.144803	-2.18564	1.28621	0.152873
42.445	-1.7944	0.984403	0.149358	-1.78494	1.26618	0.144644	-2.18547	1.28651	0.152956
42.687	-1.79444	0.984415	0.149416	-1.78495	1.26611	0.144711	-2.18549	1.28653	0.153049
42.948	-1.79442	0.984428	0.149367	-1.78498	1.26607	0.144769	-2.18565	1.28616	0.152826
43.15	-1.79438	0.984411	0.149343	-1.78504	1.26606	0.144946	-2.18564	1.28616	0.15285
43.361	-1.79444	0.984417	0.149417	-1.78631	1.26649	0.146449	-2.18548	1.28654	0.153048
43.599	-1.79441	0.984409	0.149374	-1.78633	1.26647	0.146406	-2.18567	1.28616	0.1528
43.829	-1.79434	0.984418	0.149305	-1.78596	1.26628	0.145824	-2.18541	1.28659	0.153027
44.184	-1.79438	0.984407	0.149324	-1.78596	1.26641	0.145934	-2.18544	1.28658	0.153073
